Stock,3/31/2017 Price,% Change,4/3/2017 Price,% Change,4/4/2017 Price,% Change,4/5/2017 Price,% Change,4/6/2017 Price,% Change,4/7/2017 Price,% Change,4/8/2017 Price,% Stock Change 4/3-4/10
GM,35.36,2.63%,34.17,1.99%,34.27,0.79%,34,0.47%,34.16,0.45%,33.71,0.60%,33.97,0.92%
Tesla,278.3,5.97%,298.52,3.14%,303.7,4.77%,295,2.24%,298.7,1.29%,302.54,1.26%,312.39,4.65%
Tcs,11.64,-1.72%,11.44,-0.61%,11.37,-0.43%,11.26,-0.66%,11.27,-0.36%,11.23,-0.17%,11.25,-1.66%
VW,29.99,-0.67%,29.97,-1.07%,29.65,-1.18%,29.3,-0.51%,29.15,-0.31%,29.06,1.86%,29.6,-1.24%
Infosys,108.62,4.45%,108.52,1.60%,108.01,1.51%,106.14,0.60%,105.5,0.39%,105.91,0.07%,105.98,-2.34%
