Stock,3/31/2017 Price,% Change,4/3/2017 Price,% Change,4/4/2017 Price,% Change,4/5/2017 Price,% Change,4/6/2017 Price,% Change,4/7/2017 Price,% Change,4/8/2017 Price,% Stock Change 4/3-4/10
GM,35.36,-3.365%,34.17,0.293%,34.27,-0.788%,34,0.471%,34.16,-1.317%,33.71,0.771%,33.97,-0.585%
Tesla,278.30,7.266%,298.52,1.735%,303.7,-2.865%,295,1.254%,298.7,1.286%,302.54,3.256%,312.39,4.646%
Ford,11.64,-1.718%,11.44,-0.612%,11.37,-0.967%,11.26,0.089%,11.27,-0.355%,11.23,0.178%,11.25,-1.661%
VW,29.99,-0.067%,29.97,-1.068%,29.65,-1.180%,29.3,-0.512%,29.15,-0.309%,29.06,1.858%,29.6,-1.235%
Toyota,108.62,-0.092%,108.52,-0.470%,108.01,-1.731%,106.14,-0.603%,105.5,0.389%,105.91,0.066%,105.98,-2.341%
